Actual,Image,Count,Mean,Max,Std
Benign,/content/SplitBloodSmearSamples/train/Benign/Sap_013 (11).jpg,21,0.35662875,0.55415004,0.09180971
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_051 (2).jpg,5,0.38163477,0.5544977,0.10072462
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_097 (3).jpg,12,0.31939033,0.47573298,0.077609256
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_113 (2).jpg,2,0.25149548,0.25337034,0.001874879
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_057 (2).jpg,12,0.29104963,0.43438947,0.06614138
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_112 (3).jpg,17,0.3047036,0.44779027,0.061107494
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_086.jpg,15,0.2911112,0.40798178,0.05523229
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_101.jpg,20,0.31441346,0.6299373,0.10819264
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_030 (4).jpg,19,0.3604351,0.61989045,0.093866795
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_063.jpg,11,0.26398715,0.29876274,0.02500228
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_131.jpg,20,0.29138547,0.51336825,0.06658393
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_083 (2).jpg,4,0.31679106,0.40248597,0.05144076
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_110 (3).jpg,9,0.34273422,0.5392869,0.09471493
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_022 (4).jpg,19,0.30882746,0.5388932,0.07696385
Benign,/content/SplitBloodSmearSamples/train/Benign/Sap_013 (28).jpg,13,0.40583247,0.527432,0.08105825
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_004 (4).jpg,19,0.31320977,0.53623223,0.082780465
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_074 (2).jpg,3,0.3671557,0.51546466,0.10535147
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_118 (3).jpg,20,0.3690134,0.54858726,0.09827106
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_027 (4).jpg,17,0.30416676,0.48484665,0.060785588
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_010 (3).jpg,13,0.2566693,0.30896217,0.022242965
Benign,/content/SplitBloodSmearSamples/train/Benign/Sap_013 (35).jpg,15,0.28347155,0.42833483,0.052446824
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_036.jpg,11,0.28078353,0.36280924,0.044618767
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_121.jpg,10,0.27600068,0.3022863,0.020488905
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_026 (3).jpg,11,0.2907369,0.44430125,0.061751705
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_165.jpg,10,0.27003467,0.31956878,0.023585605
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_006.jpg,9,0.27457905,0.36029118,0.039443124
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_115 (3).jpg,13,0.3412951,0.5043902,0.06632843
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_116.jpg,11,0.3195588,0.6181206,0.105280586
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_139.jpg,31,0.3364331,0.50250924,0.07732963
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_143.jpg,8,0.2929393,0.3716315,0.043030214
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_078 (3).jpg,17,0.3068711,0.4981923,0.064962976
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_054 (2).jpg,6,0.29237005,0.38317358,0.04140221
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_124 (2).jpg,7,0.31089833,0.45582193,0.06564518
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_023.jpg,17,0.27664027,0.43816793,0.066823125
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_057.jpg,11,0.26312175,0.28956863,0.016063107
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_017.jpg,13,0.28019786,0.4654029,0.06305879
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_040 (3).jpg,6,0.30963242,0.4279872,0.061251108
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_122.jpg,9,0.2810655,0.40961337,0.056253552
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_023 (3).jpg,12,0.29326808,0.6043447,0.09779443
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_050.jpg,16,0.3131408,0.6439223,0.1039781
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_104 (2).jpg,9,0.27484328,0.4097516,0.050428838
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_071.jpg,7,0.2816637,0.41128138,0.05801037
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_142.jpg,7,0.34760743,0.52238107,0.106507085
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_043 (2).jpg,7,0.26161718,0.2810425,0.015075517
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_078.jpg,11,0.31653863,0.5685844,0.10162323
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_093.jpg,8,0.32708776,0.4744271,0.08269342
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_024 (2).jpg,9,0.33094004,0.47811693,0.059134603
Benign,/content/SplitBloodSmearSamples/train/Benign/Snap_051 (3).jpg,8,0.34854132,0.47060877,0.076799124
